participant	language	starting_point	ending_point	word	vowel	stress	focus	comments	duration	pitch	intensity	gender	boundary	speech	Ntime
de03	mono	149.259	149.287	Enkelin	e	SWW	focused	N/A	28	182	44	f	0	speech	NA
de03	mono	165.19	165.304	Abakus	o	WSW	focused	N/A	114	194	54	f	0	speech	NA
de03	mono	170.515	170.568	kanOne	i	SWW	focused	N/A	54	175	50	f	0	speech	NA
de03	mono	180.456	180.546	kAritas	e	WSW	focused	N/A	90	194	51	f	0	speech	NA
de03	mono	186.044	186.091	libElle	u	WSW	focused	N/A	47	211	57	f	0	speech	NA
de03	mono	200.525	200.568	kolUmne	u	WSW	focused	N/A	43	228	53	f	0	speech	NA
de03	mono	206.309	206.369	instrUktor	i	SWW	focused	N/A	60	195	51	f	0	speech	NA
de03	mono	216.872	216.958	kOlibri	i	WSW	focused	N/A	86	213	50	f	0	speech	NA
de03	mono	222.471	222.473	vermIEter	e	SWW	focused	N/A	2	219	41	f	0	speech	NA
de03	mono	232.838	232.996	gEgenstand	o	WSW	focused	N/A	158	205	53	f	0	speech	NA
de03	mono	242.683	242.746	furOre	o	SWW	focused	N/A	63	193	54	f	0	speech	NA
de03	mono	248.098	248.204	Anorak	a	SWW	focused	fail	106	196	50	f	0	speech	NA
de03	mono	254.664	254.806	kAnapee	a	WSW	focused	N/A	142	205	55	f	0	speech	NA
de03	mono	264.519	264.594	pauschAle	u	SWW	focused	N/A	75	190	52	f	0	speech	NA
de03	mono	273.828	273.894	Uvula	e	WSW	focused	N/A	66	206	60	f	0	speech	NA
de03	mono	288.571	288.576	kalEnder	e	SWW	unfocused	N/A	5	203	39	f	0	speech	NA
de03	mono	299.011	299.072	gEgenstand	i	WSW	unfocused	N/A	61	194	51	f	0	speech	NA
de03	mono	305.277	305.341	vermIEter	e	WSW	unfocused	N/A	64	185	50	f	0	speech	NA
de03	mono	311.33	311.385	kalEnder	o	SWW	unfocused	N/A	55	180	49	f	0	speech	NA
de03	mono	248.098	248.204	Anorak	a	SWW	unfocused	fail	106	196	50	f	0	speech	NA
de04	mono	28.502	28.685	kabAle	a	WSW	focused	NA	182	216	57	f	0	NA	NA
de04	mono	34.688	34.763	Exodus	o	SWW	focused	NA	75	203	36	f	0	NA	NA
de04	mono	44.929	44.964	kOpula	u	SWW	focused	NA	36	210	45	f	0	NA	NA
de04	mono	53.172	53.292	kabIne	i	WSW	focused	NA	120	286	58	f	0	NA	NA
de04	mono	62.957	63.003	Enkelin	e	SWW	focused	NA	46	207	48	f	0	NA	NA
de04	mono	67.805	67.885	Abakus	a	SWW	focused	NA	80	234	48	f	0	NA	NA
de04	mono	77.111	77.248	kanOne	o	WSW	focused	NA	136	258	58	f	0	NA	NA
de04	mono	81.936	82.012	kAritas	i	SWW	focused	NA	76	214	54	f	0	NA	NA
de04	mono	91.182	91.242	libElle	e	WSW	focused	NA	60	244	48	f	0	NA	NA
de04	mono	95.973	96.053	kolUmne	u	WSW	focused	NA	80	291	55	f	0	NA	NA
de04	mono	114.072	114.244	kabAle	a	WSW	unfocused	NA	172	248	61	f	0	NA	NA
de04	mono	120.207	120.259	Enkelin	e	SWW	unfocused	NA	52	224	47	f	0	NA	NA
de04	mono	132.608	132.695	kabIne	i	WSW	unfocused	NA	87	199	47	f	0	NA	NA
de04	mono	138.11	138.237	kanOne	o	WSW	unfocused	NA	127	180	48	f	0	NA	NA
de04	mono	148.156	148.199	kOpula	u	SWW	unfocused	NA	43	252	56	f	0	NA	NA
de04	mono	158.454	158.502	libElle	e	WSW	unfocused	NA	48	175	56	f	0	NA	NA
de04	mono	163.835	163.896	Abakus	a	SWW	unfocused	NA	61	209	57	f	0	NA	NA
de04	mono	174.906	174.943	Exodus	o	SWW	unfocused	NA	37	243	39	f	0	NA	NA
de04	mono	180.775	180.844	kolUmne	u	WSW	unfocused	NA	69	202	53	f	0	NA	NA
de04	mono	190.542	190.616	kAritas	i	SWW	unfocused	NA	74	217	53	f	0	NA	NA
de04	mono	204.487	204.544	instrUktor	u	WSW	focused	NA	58	350	35	f	0	NA	NA
de04	mono	209.408	209.485	kOlibri	i	SWW	focused	NA	76	209	50	f	0	NA	NA
de04	mono	218.622	218.713	vermIEter	i	WSW	focused	NA	91	321	57	f	0	NA	NA
de04	mono	223.251	223.296	gEgenstand	e	SWW	focused	NA	45	236	58	f	0	NA	NA
de04	mono	232.609	232.797	furOre	o	WSW	focused	NA	189	304	58	f	0	NA	NA
de04	mono	242.518	242.563	Anorak	o	SWW	focused	NA	45	320	58	f	0	NA	NA
de04	mono	247.561	247.653	kAnape	a	SWW	focused	NA	92	227	52	f	0	NA	NA
de04	mono	252.476	252.639	pauschAle	a	WSW	focused	NA	163	271	58	f	0	NA	NA
de04	mono	263.123	263.224	Uvula	u	SWW	focused	NA	102	226	55	f	0	NA	NA
de04	mono	272.986	273.061	kalEnder	e	WSW	focused	NA	75	253	56	f	0	NA	NA
de04	mono	288.706	288.747	gEgenstand	e	SWW	unfocused	NA	41	220	46	f	0	NA	NA
de04	mono	298.809	298.915	vermIEter	i	WSW	unfocused	NA	107	193	51	f	0	NA	NA
de04	mono	304.056	304.147	kalEnder	e	WSW	unfocused	NA	90	169	49	f	0	NA	NA
de04	mono	309.371	309.44	Anorak	o	SWW	unfocused	NA	69	206	49	f	0	NA	NA
de04	mono	320.257	320.416	pauschAle	a	WSW	unfocused	NA	159	178	55	f	0	NA	NA
de04	mono	325.244	325.413	furOre	o	WSW	unfocused	NA	169	184	52	f	0	NA	NA
de04	mono	330.464	330.541	kAnapee	a	SWW	unfocused	NA	77	191	46	f	0	NA	NA
de04	mono	339.869	339.927	Uvula	u	SWW	unfocused	NA	59	211	49	f	0	NA	NA
