participant	language	starting_point	ending_point	word	vowel	stress	focus	comments	duration	pitch	intensity	gender	boundary
06_4b	ua	37.852	38.089	kUr'ava	a	SWW	focused	fail	237	206	69	f	0
06_4b	ua	46.903	46.937	bEsida	i	SWW	focused	N/A	34	233	55	f	0
06_4b	ua	94.365	94.386	bEsida	i	SWW	unfocused	int?	21	199	53	f	0
06_4b	ua	114.906	115.075	kUr'ava	a	SWW	unfocused	fail	170	101	57	f	0
06_4b	ua	134.253	134.313	pErepel	e	SWW	unfocused	N/A	60	185	53	f	0
06_4b	ua	147.994	148.047	pArostok	o	SWW	unfocused	N/A	53	93	56	f	0
06_4b	ua	162.471	162.533	rAyduzhka	u	SWW	unfocused	N/A	62	189	56	f	0
06_4b	ua	186.536	186.592	dErevo	e	SWW	focused	N/A	56	174	62	f	0
06_4b	ua	200.083	200.131	pOdruha	u	SWW	focused	N/A	48	174	52	f	0
06_4b	ua	213.099	213.289	prOlisok	i	SWW	focused	fail	190	208	61	f	0
06_4b	ua	222.832	222.858	zOloto	o	SWW	focused	N/A	26	--undefined--	56	f	0
06_4b	ua	236.198	236.228	pYsanka	a	SWW	focused	N/A	30	238	46	f	0
06_4b	ua	254.181	254.239	prOlisok	i	SWW	unfocused	N/A	58	191	56	f	0
06_4b	ua	262.652	262.71	dErevo	e	SWW	unfocused	N/A	58	94	59	f	0
06_4b	ua	276.56	276.606	pOdruha	u	SWW	unfocused	N/A	45	188	57	f	0
06_4b	ua	291.362	291.427	zOloto	o	SWW	unfocused	N/A	65	192	51	f	0
06_4b	ua	313.295	313.331	pYsanka	a	SWW	unfocused	N/A	36	205	58	f	0
07_1a	de	15.454	15.493	Exodus	o	SWW	focused	N/A	39	202	52	f	1
07_1a	de	25.242	25.279	kOpula	u	SWW	focused	N/A	37	219	66	f	0
07_1a	de	39.341	39.378	Enkelin	e	SWW	focused	N/A	37	213	64	f	0
07_1a	de	44.701	44.755	Abakus	a	SWW	focused	N/A	55	201	63	f	0
07_1a	de	60.54	60.621	kAritas	i	SWW	focused	N/A	81	216	60	f	0
07_1a	ua	18.342	18.411	prOlisok	i	SWW	unfocused	N/A	69	179	61	f	0
07_1a	ua	29.223	29.282	dErevo	e	SWW	unfocused	N/A	59	182	61	f	0
07_1a	ua	44.646	44.704	pOdruha	u	SWW	unfocused	N/A	58	187	63	f	0
07_1a	ua	60.265	60.339	zOloto	o	SWW	unfocused	N/A	74	183	54	f	0
07_1a	ua	80.801	80.848	pYsanka	a	SWW	unfocused	N/A	46	100	54	f	0
07_1a	ua	19.282	19.339	dErevo	e	SWW	focused	N/A	57	192	62	f	0
07_1a	ua	33.533	33.58	pOdruha	u	SWW	focused	N/A	46	209	64	f	0
07_1a	ua	48.587	48.655	prOlisok	i	SWW	focused	N/A	68	202	58	f	0
07_1a	ua	58.242	58.31	zOloto	o	SWW	focused	N/A	68	198	62	f	0
07_1a	ua	73.499	73.549	pYsanka	a	SWW	focused	N/A	49	214	58	f	0
08_2a	de	4.846	4.869	kOsovo	o	SWW	unfocused	N/A	23	130	48	m	1
08_2a	de	11.055	11.153	Ursula	u	SWW	unfocused	fail	98	126	62	m	0
08_2a	de	32.922	32.963	Ananas	a	SWW	unfocused	N/A	41	130	56	m	0
08_2a	de	56.015	56.041	spIritus	i	SWW	unfocused	N/A	26	129	45	m	0
08_2a	de	62.599	62.675	lIbero	e	SWW	unfocused	N/A	76	129	55	m	0
08_2a	de	16.376	16.446	Ursula	u	SWW	focused	N/A	70	171	64	m	1
08_2a	de	36.337	36.396	Ananas	a	SWW	focused	N/A	58	204	60	m	1
08_2a	de	51.695	51.77	lIbero	e	SWW	focused	N/A	74	173	54	m	1
08_2a	de	61.669	61.729	kOsovo	o	SWW	focused	N/A	60	194	62	m	1
08_2a	de	71.901	71.942	spIritus	i	SWW	focused	N/A	41	164	47	m	1
08_2a	ua	8.859	8.934	hYkavka	a	SWW	unfocused	N/A	75	110	58	m	1
08_2a	ua	27.87	27.908	Avtorka	o	SWW	unfocused	N/A	38	110	60	m	1
08_2a	ua	45.457	45.47	stAtuya	u	SWW	unfocused	N/A	12	123	53	m	1
08_2a	ua	61.955	61.985	lAstivka	i	SWW	unfocused	N/A	30	115	51	m	1
08_2a	ua	67.919	67.998	bErezen'	e	SWW	unfocused	N/A	79	105	62	m	1
08_2a	ua	6.69	6.742	Avtorka	o	SWW	focused	N/A	52	113	44	m	1
08_2a	ua	22.259	22.303	lAstivka	i	SWW	focused	N/A	45	106	49	m	1
08_2a	ua	43.573	43.645	stAtuya	u	SWW	focused	N/A	71	113	44	m	1
08_2a	ua	66.877	66.95	bErezen'	e	SWW	focused	N/A	73	104	55	m	1
08_2a	ua	78.45	78.494	hYkavka	a	SWW	focused	N/A	44	106	55	m	1
09_4a	de	34.849	34.926	stImulus	u	SWW	focused	N/A	76	113	45	m	0
09_4a	de	55.718	56.059	kAviar	i	SWW	focused	fail	342	124	45	m	0
09_4a	de	61.408	61.589	Abakus	a	SWW	focused	fail	181	109	41	m	0
09_4a	de	88.877	89.047	Oktopus	o	SWW	focused	fail	170	--undefined--	37	m	0
09_4a	de	102.401	102.667	kAbeljau	e	SWW	focused	fail	265	111	46	m	0
09_4a	de	133.796	133.842	Oktopus	o	SWW	unfocused	N/A	47	--undefined--	35	m	0
09_4a	de	149.512	149.55	Abakus	a	SWW	unfocused	N/A	38	108	33	m	0
09_4a	de	155.024	155.072	stImulus	u	SWW	unfocused	N/A	48	107	42	m	0
09_4a	de	169.826	170.031	kAviar	i	SWW	unfocused	fail	205	103	41	m	0
09_4a	de	192.57	192.615	kAbeljau	e	SWW	unfocused	N/A	46	--undefined--	39	m	0
09_4a	de	221.567	221.684	Enkelin	e	SWW	unfocused	N/A	117	105	34	m	0
09_4a	de	246.878	246.917	kOpula	u	SWW	unfocused	N/A	39	106	43	m	0
09_4a	de	262.432	262.474	Abakus	a	SWW	unfocused	N/A	41	120	31	m	0
09_4a	de	273.74	273.772	Exodus	o	SWW	unfocused	N/A	33	110	34	m	0
09_4a	de	290.783	290.842	kAritas	i	SWW	unfocused	N/A	59	134	39	m	0
09_4a	de	309.374	309.46	Exodus	o	SWW	focused	N/A	86	102	39	m	0
09_4a	de	320.529	320.559	kOpula	u	SWW	focused	N/A	29	110	36	m	0
09_4a	de	334.611	334.638	Enkelin	e	SWW	focused	N/A	27	136	36	m	0
09_4a	de	339.165	339.23	Abakus	a	SWW	focused	N/A	65	114	43	m	0
09_4a	de	353.593	353.642	kAritas	i	SWW	focused	N/A	50	126	34	m	0
09_4a	ua	19.196	19.261	pArostok	o	SWW	focused	N/A	65	118	39	m	0
09_4a	ua	29.991	30.036	pErepel	e	SWW	focused	N/A	45	116	36	m	1
09_4a	ua	36.221	36.277	rAyduzhka	u	SWW	unfocused	N/A	56	107	36	m	0
09_4a	ua	41.676	41.771	kUr'ava	a	SWW	focused	N/A	94	126	44	m	0
09_4a	ua	52.515	52.542	bEsida	i	SWW	focused	N/A	27	127	38	m	0
09_4a	ua	100.544	100.609	bEsida	i	SWW	unfocused	N/A	64	77	34	m	0
09_4a	ua	114.266	114.356	zavdAnn'a	a	SWW	unfocused	N/A	90	96	39	m	0
09_4a	ua	119.694	119.771	kUr'ava	a	SWW	unfocused	N/A	77	102	38	m	0
09_4a	ua	139.581	139.642	pErepel	e	SWW	unfocused	N/A	61	104	36	m	0
09_4a	ua	154.967	155.017	pArostok	o	SWW	unfocused	N/A	50	109	45	m	0
09_4a	ua	168.872	168.904	rAyduzhka	u	SWW	unfocused	N/A	32	112	45	m	0
09_4a	ua	183.95	184.004	prOlisok	i	SWW	unfocused	N/A	54	107	38	m	0
09_4a	ua	192.84	192.925	dErevo	e	SWW	unfocused	N/A	84	109	39	m	0
09_4a	ua	205.76	205.844	pOdruha	u	SWW	unfocused	N/A	84	111	42	m	0
09_4a	ua	219.99	220.06	zOloto	o	SWW	unfocused	N/A	69	115	36	m	0
09_4a	ua	235.944	236.131	pYsanka	a	SWW	unfocused	fail	187	112	35	m	0
09_4a	ua	260.249	260.3	dErevo	e	SWW	focused	N/A	50	151	45	m	0
09_4a	ua	272.348	272.372	pOdruha	u	SWW	unfocused	N/A	23	118	40	m	0
09_4a	ua	282.955	283.018	prOlisok	i	SWW	focused	N/A	63	121	42	m	0
09_4a	ua	290.832	290.894	zOloto	o	SWW	focused	N/A	62	125	44	m	0
09_4a	ua	301.847	301.901	pYsanka	a	SWW	focused	N/A	53	130	42	m	0
10_1b	de	27.803	27.863	Exodus	o	SWW	focused	N/A	60	223	40	f	1
10_1b	de	38.695	38.753	kOpula	u	SWW	focused	N/A	58	221	45	f	1
10_1b	de	56.204	56.24	Enkelin	e	SWW	focused	N/A	36	235	39	f	0
10_1b	de	61.865	61.961	Abakus	a	SWW	focused	N/A	96	204	48	f	1
10_1b	de	78.331	78.4	kAritas	i	SWW	focused	N/A	69	220	49	f	1
10_1b	de	17.481	17.507	Enkelin	e	SWW	unfocused	N/A	26	300	47	f	1
10_1b	de	48.111	48.186	kOpula	u	SWW	unfocused	N/A	75	299	46	f	1
10_1b	de	66.672	66.737	Abakus	a	SWW	unfocused	N/A	65	262	40	f	1
10_1b	de	79.445	79.491	Exodus	o	SWW	unfocused	N/A	47	296	49	f	1
10_1b	de	97.767	97.826	kAritas	i	SWW	unfocused	N/A	60	307	50	f	1
10_1b	de	15.727	15.785	kOlibri	i	SWW	focused	N/A	58	241	51	f	0
10_1b	de	32.7	32.748	gEgenstand	e	SWW	focused	N/A	48	236	44	f	1
10_1b	de	53.074	53.132	Anorak	o	SWW	focused	N/A	57	223	48	f	1
10_1b	de	58.512	58.596	kAnapee	a	SWW	focused	N/A	84	216	52	f	1
10_1b	de	76.309	76.4	Uvula	u	SWW	focused	N/A	91	224	52	f	1
10_1b	de	9.665	9.715	gEgenstand	e	SWW	unfocused	N/A	50	291	55	f	1
10_1b	de	31.195	31.24	Anorak	o	SWW	unfocused	N/A	45	265	48	f	0
10_1b	de	53.406	53.468	kAnapee	a	SWW	unfocused	N/A	62	256	46	f	0
10_1b	de	63.965	64.017	Uvula	u	SWW	unfocused	N/A	52	279	55	f	0
10_1b	de	87.75	87.792	kOlibri	i	SWW	unfocused	N/A	42	269	48	f	0
10_1b	ua	33.555	33.665	dErevo	e	SWW	focused	N/A	111	198	44	f	1
10_1b	ua	48.566	48.624	pOdruha	u	SWW	focused	N/A	57	208	47	f	1
10_1b	ua	61.727	61.787	prOlisok	i	SWW	focused	N/A	60	202	45	f	1
10_1b	ua	70.653	70.733	zOloto	o	SWW	focused	N/A	81	194	46	f	1
10_1b	ua	84.283	84.393	pYsanka	a	SWW	focused	N/A	109	209	45	f	1
10_1b	ua	16.126	16.193	prOlisok	i	SWW	unfocused	N/A	67	199	48	f	1
10_1b	ua	26.284	26.362	dErevo	e	SWW	unfocused	N/A	79	195	48	f	0
10_1b	ua	43.019	43.101	pOdruha	u	SWW	unfocused	N/A	82	199	48	f	0
10_1b	ua	59.348	59.598	zOloto	o	SWW	unfocused	fail	250	238	52	f	0
