participant	language	starting_point	ending_point	word	vowel	stress	focus	duration	pitch	intensity	gender	f0	Ntime	z1	type
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	216.063478693621	40	-0.13973530224904163	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	207.99379464926199	45	-0.3663139749507776	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	201.724864307538	50	-0.54233151272295	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	189.895900091893	55	-0.8744623615497671	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	191.042875655601	60	-0.8422578539856885	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	192.811630095858	65	-0.7925951867479446	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	194.452974069504	70	-0.7465099203420472	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	195.818322771837	75	-0.7081739836375737	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	196.863898188464	80	-0.6788165653289205	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	197.626966489239	85	-0.6573913147466215	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	198.131482266254	90	-0.6432256405411918	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	198.353240937466	95	-0.6369991532206083	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	198.46321928808	100	-0.6339112072030111	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	200.286743756741	105	-0.5827107201111815	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	202.991862793548	110	-0.5067570300421905	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	211.805454638693	115	-0.25929109072778184	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	236.37673950517	120	0.4306156120649221	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	266.168879700161	125	1.2671122512417403	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	288.403772785893	130	1.8914183003183291	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	275.615906697854	140	1.532363632379892	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	246.477389242261	145	0.7142192572974791	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	221.146524025863	150	0.00298523777844944	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	209.962526567878	155	-0.31103638755410884	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	206.55689745697	160	-0.4066588331693535	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	203.322715705167	165	-0.497467420540497	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	200.146465104568	170	-0.5866494308020874	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	197.213987469811	175	-0.6689868416050828	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	194.458146182618	180	-0.7463646989779895	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	191.985166529446	185	-0.8158004345475627	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	189.80784388859	190	-0.8769347827198983	like_de
01_2b	de	64.819	64.945	alUmnus	u	WSW	focused	126	258	58	f	187.845308170906	195	-0.9320383946578936	like_de
